compang,dili,position,pay,level
['河南恒发科技股份有限公司'],['新乡'],销售内勤,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],实验员,2k-4k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],试制员/工艺员/技术员,2k-4k,本科生毕业
['绿点（苏州）科技有限公司'],['苏州'],品质工程师,6k-8k,本科生毕业
['绿点（苏州）科技有限公司'],['苏州'],自动化工程师,6k-8k,本科生毕业
['绿点（苏州）科技有限公司'],[],管培生,no,不限
['绿点（苏州）科技有限公司'],['苏州'],制程工程师,6k-8k,本科生毕业
['河南贝壳信息技术有限公司'],['郑州'],链家储备干部,6k-8k,专科生毕业
['河南贝壳信息技术有限公司'],['郑州'],高级销售,6k-8k,专科生毕业
['河南贝壳信息技术有限公司'],['郑州'],房产经纪人/二手房销售,4k-6k,专科生毕业
['河南贝壳信息技术有限公司'],['郑州'],置业顾问,4k-6k,专科生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],电焊工/铆焊工,6k-8k,中专生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],律师/法律顾问,2k-4k,本科生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],施工管理/技术员,6k-8k,本科生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],造价工程师,6k-8k,专科生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],文员/秘书/经理助理,2k-4k,本科生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],管道工程师,6k-8k,本科生毕业
['中国石油管道局工程有限公司第三工程分公司'],['郑州'],管道工程师,6k-8k,本科生毕业
['邯郸正大饲料有限公司'],['邢台'],人力资源专员/人事助理,4k-6k,本科生毕业
['邯郸正大饲料有限公司'],['秦皇岛'],会计专员,4k-6k,本科生毕业
['邯郸正大饲料有限公司'],['邯郸'],养殖技术人员,6k-8k,专科生毕业
['邯郸正大饲料有限公司'],['邯郸'],养殖技术人员,6k-8k,专科生毕业
['邯郸正大饲料有限公司'],['邯郸'],销售服务储备干部,4k-6k,专科生毕业
['邯郸正大饲料有限公司'],['邯郸'],区域销售经理,6k-8k,专科生毕业
['邯郸正大饲料有限公司'],['邯郸'],技术服务储备干部,4k-6k,本科生毕业
